"Latest: Time (s)";"Latest: Potential (V)"
0,256;-0,00274658203125
0,257;-0,00274658203125
0,258;-0,00274658203125
0,259;-0,00274658203125
0,26;-0,00274658203125
0,261;-0,00274658203125
0,262;-0,00274658203125
0,263;-0,00274658203125
0,264;-0,00274658203125
0,265;-0,00274658203125
0,266;-0,00274658203125
0,267;-0,00274658203125
0,268;-0,00274658203125
0,269;-0,00274658203125
0,27;-0,00274658203125
0,271;-0,00274658203125
0,272;-0,00885009765625
0,273;-0,00274658203125
0,274;-0,00274658203125
0,275;-0,00274658203125
0,276;-0,00274658203125
0,277;-0,00274658203125
0,278;-0,00274658203125
0,279;-0,00274658203125
0,28;-0,00274658203125
0,281;-0,00274658203125
0,282;-0,00274658203125
0,283;-0,00274658203125
0,284;-0,00274658203125
0,285;-0,00274658203125
0,286;-0,00274658203125
0,287;-0,00274658203125
0,288;-0,00274658203125
0,289;-0,00274658203125
0,29;-0,00274658203125
0,291;-0,00274658203125
0,292;-0,00274658203125
0,293;-0,00274658203125
0,294;-0,00274658203125
0,295;-0,00274658203125
0,296;-0,00274658203125
0,297;-0,00274658203125
0,298;-0,00274658203125
0,299;-0,00274658203125
0,3;-0,00274658203125
0,301;-0,00274658203125
0,302;0,00335693359375
0,303;-0,00274658203125
0,304;-0,00274658203125
0,305;-0,00274658203125
0,306;-0,00274658203125
0,307;-0,00274658203125
0,308;-0,00274658203125
0,309;0,00335693359375
0,31;-0,00274658203125
0,311;-0,00274658203125
0,312;0,00335693359375
0,313;0,00335693359375
0,314;-0,00274658203125
0,315;0,00335693359375
0,316;0,00335693359375
0,317;-0,00274658203125
0,318;0,00335693359375
0,319;0,00335693359375
0,32;0,00335693359375
0,321;0,00335693359375
0,322;0,00335693359375
0,323;0,00335693359375
0,324;0,00335693359375
0,325;0,00335693359375
0,326;0,00335693359375
0,327;-0,00274658203125
0,328;-0,00274658203125
0,329;0,00335693359375
0,33;-0,00274658203125
0,331;0,00335693359375
0,332;-0,00274658203125
0,333;0,00335693359375
0,334;0,00335693359375
0,335;0,00335693359375
0,336;0,00335693359375
0,337;0,00335693359375
0,338;0,00335693359375
0,339;-0,00274658203125
0,34;0,00335693359375
0,341;0,00335693359375
0,342;0,00335693359375
0,343;0,00335693359375
0,344;0,00335693359375
0,345;-0,00274658203125
0,346;-0,00274658203125
0,347;0,00335693359375
0,348;0,00335693359375
0,349;0,00335693359375
0,35;0,00335693359375
0,351;0,00335693359375
0,352;0,00335693359375
0,353;0,00335693359375
0,354;-0,00274658203125
0,355;0,00335693359375
0,356;0,00335693359375
0,357;0,00335693359375
0,358;0,00335693359375
0,359;0,00335693359375
0,36;0,00335693359375
0,361;0,00335693359375
0,362;0,00335693359375
0,363;-0,00274658203125
0,364;-0,00274658203125
0,365;0,00335693359375
0,366;0,00335693359375
0,367;-0,00274658203125
0,368;0,00335693359375
0,369;0,00335693359375
0,37;0,00335693359375
0,371;0,00335693359375
0,372;0,00335693359375
0,373;0,00335693359375
0,374;-0,00274658203125
0,375;-0,00274658203125
0,376;0,00335693359375
0,377;0,00335693359375
0,378;0,00335693359375
0,379;-0,00274658203125
0,38;0,00335693359375
0,381;0,00335693359375
0,382;0,00335693359375
0,383;0,00335693359375
0,384;-0,00274658203125
0,385;0,00335693359375
0,386;0,00335693359375
0,387;0,00335693359375
0,388;0,00335693359375
0,389;0,00335693359375
0,39;0,00335693359375
0,391;0,00335693359375
0,392;0,00335693359375
0,393;-0,00274658203125
0,394;0,00335693359375
0,395;0,00335693359375
0,396;0,00335693359375
0,397;0,00335693359375
0,398;0,00335693359375
0,399;0,00335693359375
0,4;0,00335693359375
0,401;0,00335693359375
0,402;0,00335693359375
0,403;0,00335693359375
0,404;0,00335693359375
0,405;0,00335693359375
0,406;0,00335693359375
0,407;-0,00274658203125
0,408;-0,00274658203125
0,409;0,00335693359375
0,41;0,00335693359375
0,411;0,00335693359375
0,412;0,00335693359375
0,413;0,00335693359375
0,414;0,00335693359375
0,415;0,00335693359375
0,416;0,00335693359375
0,417;0,00335693359375
0,418;0,00335693359375
0,419;0,00335693359375
0,42;-0,00274658203125
0,421;0,00335693359375
0,422;0,00335693359375
0,423;0,00335693359375
0,424;0,00335693359375
0,425;0,00335693359375
0,426;0,00335693359375
0,427;0,00335693359375
0,428;0,00335693359375
