"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.691637090E-1,2.898007393E0,1.030110121E0,1.044317532E1,1.088666544E1
1.716018340E-1,2.785245657E0,9.726824164E-1,1.045035362E1,1.085880266E1
1.740399590E-1,2.730210543E0,9.463613629E-1,1.042164040E1,1.081481567E1
1.764780840E-1,2.634497643E0,9.008977413E-1,1.040249729E1,1.076866493E1
1.789162090E-1,2.569891453E0,8.315058947E-1,1.034506989E1,1.069187612E1
1.813543340E-1,2.507678032E0,7.737790346E-1,1.029960632E1,1.062869105E1
1.837924590E-1,2.452643156E0,7.163512707E-1,1.025653553E1,1.057001129E1
1.862305840E-1,2.431107759E0,6.661019921E-1,1.010818005E1,1.041773875E1
1.886687090E-1,2.426322222E0,6.134598851E-1,9.959526062E0,1.026915439E1
1.911068340E-1,2.419143677E0,6.014958024E-1,9.880562782E0,1.019017047E1
1.935449590E-1,2.380858421E0,4.842474759E-1,9.777671814E0,1.007501109E1
1.959830840E-1,2.378465652E0,4.483551383E-1,9.624530792E0,9.924198414E0
1.984212090E-1,2.287239313E0,3.933202326E-1,9.210273743E0,9.498173872E0
2.008593340E-1,2.193919182E0,3.334996700E-1,8.894122124E0,9.166783065E0
2.032974590E-1,2.081456661E0,2.665006220E-1,8.793622971E0,9.040535900E0
2.057355840E-1,1.945065737E0,2.111666054E-1,8.772088051E0,8.987624871E0
2.081737090E-1,1.803889155E0,1.561316848E-1,8.788837433E0,8.973408305E0
2.106118340E-1,1.698305845E0,9.391828626E-2,8.779266357E0,8.942515371E0
2.130499590E-1,1.569093466E0,2.991028363E-3,8.803194046E0,8.941939871E0
2.154880840E-1,1.502094388E0,-3.050848842E-2,8.889336586E0,9.015404775E0
2.179262090E-1,1.439880967E0,-7.118647546E-2,8.925228119E0,9.040908234E0
2.203643340E-1,1.399203062E0,-1.022931710E-1,8.949156761E0,9.058456813E0
2.228024590E-1,1.336989641E0,-9.750752151E-2,8.997312546E0,9.096630259E0
2.252405840E-1,1.308275819E0,-1.190429255E-1,8.992527008E0,9.087975508E0
2.276787090E-1,1.277169108E0,-1.381855011E-1,9.037990570E0,9.128829591E0
2.301168340E-1,1.224527001E0,-1.333998591E-1,9.090632439E0,9.173704815E0
2.325549590E-1,1.217348576E0,-1.142572835E-1,9.174381256E0,9.255499107E0
2.349930840E-1,1.183848977E0,-1.310070455E-1,9.217452049E0,9.294088633E0
2.374312090E-1,1.116550922E0,-1.453639716E-1,9.356235504E0,9.423744450E0
2.398693340E-1,1.037587762E0,-1.884347796E-1,9.598209381E0,9.655968069E0
2.423074590E-1,9.275178909E-1,-2.291127741E-1,1.008903790E1,1.013417326E1
2.447455840E-1,8.078767657E-1,-2.913261652E-1,1.061545849E1,1.065014060E1
2.471837090E-1,-3.029911816E-1,-1.447657704E0,1.147508049E1,1.157000383E1
2.496218340E-1,-2.679123878E1,-2.514467812E1,2.475285339E1,4.430269816E1
2.520599590E-1,-2.548655272E0,-2.956033230E0,1.450349617E1,1.501949324E1
2.544980840E-1,1.195813060E0,1.729113460E0,1.355324650E1,1.371533058E1
2.569362090E-1,1.001695395E0,2.028515339E0,1.347906876E1,1.366760998E1
2.593743340E-1,1.173978567E0,1.997408748E0,1.246630669E1,1.267977404E1
2.618124590E-1,1.573879123E0,1.961516380E0,1.164975643E1,1.191811507E1
2.642505840E-1,2.031207323E0,1.891825438E0,1.091007519E1,1.125764395E1
2.666887090E-1,2.531606436E0,1.889432549E0,1.053649521E1,1.099985081E1
2.691268340E-1,3.017648458E0,1.913659930E0,1.024457073E1,1.084986295E1
2.715649590E-1,3.335893869E0,1.906481385E0,1.012253666E1,1.082721606E1
2.740030840E-1,3.687937975E0,1.891825438E0,1.041685390E1,1.121118795E1
2.764412090E-1,3.910470486E0,1.908874273E0,1.052213860E1,1.138643847E1
2.788793340E-1,4.032803535E0,1.916052699E0,1.040728283E1,1.132458821E1
2.813174590E-1,4.140480518E0,2.059622049E0,1.014885807E1,1.115279974E1
2.837555840E-1,4.173980236E0,2.160120726E0,1.003609657E1,1.108203352E1
2.861937090E-1,4.157230377E0,2.217548370E0,9.902098656E0,1.096593101E1
2.886318340E-1,4.150051594E0,2.270190477E0,9.844670296E0,1.092218963E1
2.910699590E-1,4.023231983E0,2.246262312E0,9.713065147E0,1.075061508E1
2.935080840E-1,3.903291941E0,2.148156643E0,9.782457352E0,1.074926680E1
2.959462090E-1,3.738187075E0,2.038086653E0,9.835099220E0,1.071713658E1
2.983843340E-1,3.534797192E0,1.834397674E0,9.669994354E0,1.045794420E1
3.008224590E-1,3.367000580E0,1.678864241E0,9.461520195E0,1.018212367E1
3.032605840E-1,3.127718210E0,1.542473316E0,9.250951767E0,9.886453041E0
3.056987090E-1,2.938685417E0,1.360618830E0,9.167202950E0,9.722384764E0
3.081368340E-1,2.780459881E0,1.240678549E0,9.040383339E0,9.539327614E0
3.105749590E-1,2.593819857E0,1.094716311E0,8.982954979E0,9.413808231E0
3.130130840E-1,2.423929453E0,9.846464992E-1,8.858229637E0,9.236514225E0
3.154512090E-1,2.294417858E0,9.080761671E-1,8.836693764E0,9.174754073E0
3.178893340E-1,2.086242199E0,7.546364665E-1,8.827122688E0,9.101646975E0
3.203274590E-1,1.899602056E0,6.828517914E-1,8.822337151E0,9.050326366E0
3.227655840E-1,1.758425593E0,5.799604058E-1,8.949156761E0,9.138699107E0
3.252037090E-1,1.581057549E0,5.153541565E-1,9.018847466E0,9.170874685E0
3.276418340E-1,1.475773335E0,5.129613280E-1,9.049954414E0,9.183828785E0
3.300799590E-1,1.284347534E0,5.225326419E-1,8.956335068E0,9.063030773E0
3.325180840E-1,1.106979609E0,4.938187599E-1,8.932407379E0,9.014275479E0
3.349562090E-1,1.059123158E0,5.273182988E-1,8.882157326E0,8.960609645E0
3.373943340E-1,9.490532875E-1,5.297111273E-1,8.851051331E0,8.917533610E0
3.398324590E-1,8.868398666E-1,5.344967842E-1,8.791230202E0,8.851999787E0
3.422705840E-1,8.748757839E-1,5.799604058E-1,8.719446182E0,8.782397363E0
3.447087090E-1,8.461619020E-1,5.847460628E-1,8.602197647E0,8.663470568E0
3.471468340E-1,8.461619020E-1,5.895316601E-1,8.504091263E0,8.566393976E0
3.495849590E-1,8.629116416E-1,6.302096844E-1,8.403293610E0,8.470957693E0
3.520230840E-1,8.796614408E-1,6.230311990E-1,8.293224335E0,8.362986428E0
3.544612090E-1,8.916255236E-1,6.637091637E-1,8.259724617E0,8.334180024E0
3.568993340E-1,9.059824944E-1,6.637091637E-1,8.216653824E0,8.293052164E0
3.593374590E-1,8.988040090E-1,6.565307379E-1,8.226224899E0,8.301184093E0
3.617755840E-1,9.251250625E-1,6.708876491E-1,8.309973717E0,8.388182747E0
3.642137090E-1,8.940183520E-1,6.756733060E-1,8.427521706E0,8.501701320E0
3.666518340E-1,8.533403873E-1,6.206383705E-1,8.532805443E0,8.597799168E0
3.690552710E-1,8.198408484E-1,6.086742878E-1,8.659625053E0,8.719617507E0
3.714456880E-1,7.313064337E-1,5.201398134E-1,8.805587769E0,8.851199381E0
3.738368860E-1,6.403791308E-1,4.220340848E-1,8.930013657E0,8.962886929E0
3.762272500E-1,5.324030519E-1,3.311068416E-1,9.100203514E0,9.121775526E0
3.786168340E-1,3.936193287E-1,2.545365095E-1,9.227023125E0,9.238922056E0
3.810073020E-1,2.763710022E-1,1.944168359E-1,9.389735222E0,9.395813236E0
