"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.169339584E-1,3.772155762E-1,-5.616021423E0,5.454656982E-1,5.655043859E0
6.268769584E-1,3.709286499E-1,-5.263504486E0,5.301974487E-1,5.303128970E0
6.368199583E-1,3.775149536E-1,-4.958738251E0,5.108876038E-1,4.999260818E0
6.467639583E-1,3.421884155E-1,-4.715194702E0,4.917274475E-1,4.753098976E0
6.567069584E-1,3.318598938E-1,-4.490811310E0,4.808001709E-1,4.528651677E0
6.666499584E-1,3.354524231E-1,-4.341272278E0,4.481680298E-1,4.377216913E0
6.765939583E-1,3.221301270E-1,-4.251908112E0,4.303550720E-1,4.285754997E0
6.865369583E-1,2.950364685E-1,-4.163591766E0,4.090992737E-1,4.194032085E0
6.964799584E-1,2.860551453E-1,-4.044140167E0,3.905378723E-1,4.073010811E0
7.064229583E-1,2.544708252E-1,-3.974983978E0,3.802093506E-1,4.001226334E0
7.163669583E-1,2.591111755E-1,-3.928281097E0,3.879931641E-1,3.955890504E0
7.263099583E-1,2.534230042E-1,-3.987258453E0,3.773652649E-1,4.013085812E0
7.362529584E-1,2.339634705E-1,-4.071233826E0,3.734733582E-1,4.095017231E0
7.461969584E-1,2.468367004E-1,-4.207450562E0,3.682342529E-1,4.230740485E0
7.561399583E-1,2.344125366E-1,-4.390070801E0,3.803590393E-1,4.412747882E0
7.660829583E-1,2.233355713E-1,-4.558620300E0,3.936813354E-1,4.581035125E0
7.760259584E-1,2.404000854E-1,-4.724475403E0,4.227209473E-1,4.749437128E0
7.859699583E-1,2.433938599E-1,-4.920567627E0,4.459226990E-1,4.946723501E0
7.959129583E-1,2.616558838E-1,-5.190755768E0,4.441264343E-1,5.216287716E0
8.058562917E-1,2.829116821E-1,-5.494923248E0,4.529580688E-1,5.520814391E0
8.158002917E-1,2.960842896E-1,-5.842949524E0,4.810995483E-1,5.870194360E0
8.257432917E-1,3.041674805E-1,-6.224955139E0,5.131329346E-1,6.253470217E0
8.356862917E-1,3.466790771E-1,-6.620881805E0,5.731581116E-1,6.654680495E0
8.456292917E-1,3.632945251E-1,-6.999294891E0,6.183641052E-1,7.035942443E0
8.555732917E-1,4.056564331E-1,-7.352260895E0,6.598278809E-1,7.392947331E0
8.655162917E-1,4.430786133E-1,-7.743996277E0,6.944059753E-1,7.787682367E0
8.754592917E-1,4.643344116E-1,-8.190368042E0,7.349716187E-1,8.236377747E0
8.854032917E-1,5.254074097E-1,-8.642577667E0,7.816744995E-1,8.693745838E0
8.953462917E-1,5.587879944E-1,-9.120533752E0,8.431965637E-1,9.176456854E0
9.052892917E-1,5.953120422E-1,-9.627379761E0,9.120533752E-1,9.688791403E0
9.152322917E-1,6.224057007E-1,-1.007554779E1,9.467811584E-1,1.013905551E1
9.251762917E-1,6.491999817E-1,-1.049048492E1,9.496252441E-1,1.055336547E1
9.351192917E-1,6.716532898E-1,-1.089554260E1,1.002914429E0,1.096219887E1
9.450622917E-1,6.833290100E-1,-1.133966904E1,1.028660889E0,1.140671625E1
9.550062917E-1,7.038363647E-1,-1.177571228E1,1.076112213E0,1.184570820E1
9.649492917E-1,7.247927856E-1,-1.222432938E1,1.107097778E0,1.229573986E1
9.748922916E-1,7.361691284E-1,-1.267638931E1,1.128203888E0,1.274776981E1
9.848352917E-1,7.176077271E-1,-1.305644897E1,1.101110229E0,1.312243363E1
9.947792917E-1,7.006929016E-1,-1.341854599E1,1.122964783E0,1.348367149E1
1.004722292E0,6.798861694E-1,-1.372660538E1,1.124162292E0,1.378933215E1
1.014665292E0,6.721023560E-1,-1.402568344E1,1.137185211E0,1.408775027E1
1.024609292E0,6.738986206E-1,-1.433179688E1,1.135239258E0,1.439247405E1
1.034552292E0,6.530918884E-1,-1.460767319E1,1.134790192E0,1.466623311E1
1.044495292E0,6.659651184E-1,-1.486843094E1,1.138682098E0,1.492683305E1
1.054438292E0,6.819818115E-1,-1.509221558E1,1.165027313E0,1.515247039E1
1.064382292E0,6.891668701E-1,-1.524804153E1,1.186283112E0,1.530963714E1
1.074325292E0,7.080276489E-1,-1.533231628E1,1.206191711E0,1.539597753E1
1.084268292E0,6.953041077E-1,-1.540880722E1,1.205742645E0,1.547154172E1
1.094212292E0,7.152127075E-1,-1.544967224E1,1.205742645E0,1.551314658E1
1.104155292E0,7.074288940E-1,-1.549023788E1,1.236578522E0,1.555561159E1
1.114098292E0,7.149133301E-1,-1.551119431E1,1.263223114E0,1.557895961E1
1.124041292E0,7.270381165E-1,-1.550326080E1,1.284927979E0,1.557339783E1
1.133985292E0,7.508386230E-1,-1.541868668E1,1.282233582E0,1.549011880E1
1.143928292E0,7.679031372E-1,-1.526660294E1,1.272803192E0,1.533880270E1
1.153871292E0,7.750881958E-1,-1.507979141E1,1.268761597E0,1.515290819E1
1.163815292E0,7.702981567E-1,-1.485196518E1,1.272653503E0,1.492628138E1
1.173758292E0,7.508386230E-1,-1.463641342E1,1.270108795E0,1.471059254E1
1.183701292E0,7.445516968E-1,-1.440095306E1,1.249002686E0,1.447417749E1
1.193644292E0,7.156617737E-1,-1.413166306E1,1.216969299E0,1.420200995E1
1.203588292E0,6.932084656E-1,-1.388033569E1,1.176104279E0,1.394731079E1
1.213531292E0,6.451583862E-1,-1.352557343E1,1.143023071E0,1.358910842E1
1.223474292E0,6.373745728E-1,-1.312814987E1,1.118174744E0,1.319109094E1
1.233418292E0,6.206094360E-1,-1.272428970E1,1.071621552E0,1.278440758E1
1.243361292E0,5.890251160E-1,-1.231578918E1,1.013991394E0,1.237149111E1
1.253304292E0,5.694158936E-1,-1.191432404E1,9.981243896E-1,1.196961169E1
1.263247292E0,5.495072937E-1,-1.150687134E1,9.397457886E-1,1.155825110E1
1.273191292E0,5.176235962E-1,-1.110660370E1,9.096583557E-1,1.115580827E1
1.283134292E0,4.837939453E-1,-1.067699707E1,8.803193665E-1,1.072414496E1
1.293077292E0,4.842430115E-1,-1.020113663E1,8.361611938E-1,1.024679683E1
1.303021292E0,4.415817261E-1,-9.687854004E0,8.077203369E-1,9.731491241E0
1.312964292E0,4.317022705E-1,-9.209897919E0,7.801776123E-1,9.252959723E0
1.322907292E0,4.394860840E-1,-8.759334869E0,7.565267944E-1,8.802921570E0
1.332850292E0,4.363426208E-1,-8.324638824E0,7.363188171E-1,8.368522680E0
1.342794292E0,4.224215698E-1,-7.908504181E0,7.132667542E-1,7.951831728E0
1.352737292E0,4.144880676E-1,-7.518265686E0,6.779402161E-1,7.560140357E0
1.362680292E0,4.287084961E-1,-7.102280731E0,6.631210327E-1,7.146041706E0
1.372624292E0,4.044589233E-1,-6.668333130E0,6.312373352E-1,6.710343831E0
1.382567292E0,3.779640198E-1,-6.259383545E0,6.158193970E-1,6.300950142E0
1.392510292E0,3.716770935E-1,-5.904770966E0,5.938151550E-1,5.946182007E0
1.402453292E0,3.508703613E-1,-5.592669983E0,5.640270996E-1,5.631979591E0
1.412397292E0,3.365002441E-1,-5.307512970E0,5.420228577E-1,5.345719327E0
1.422340292E0,3.293151855E-1,-5.071304169E0,5.279521179E-1,5.109335368E0
1.432283292E0,3.198847961E-1,-4.847070465E0,4.956193542E-1,4.882832879E0
1.442227292E0,2.975811768E-1,-4.606071625E0,4.813989258E-1,4.640710645E0
1.452170292E0,2.947370911E-1,-4.383783875E0,4.587959290E-1,4.417570001E0
1.462113292E0,2.815644836E-1,-4.226161652E0,4.405339050E-1,4.258378915E0
1.472056292E0,2.552192688E-1,-4.099075928E0,4.011657715E-1,4.126559622E0
1.482000292E0,2.707868958E-1,-4.039200439E0,3.935316467E-1,4.067349615E0
1.491943292E0,2.766247559E-1,-4.036955109E0,3.842509460E-1,4.064625025E0
1.501886292E0,2.640509033E-1,-4.066443787E0,3.689826965E-1,4.091678895E0
1.511829292E0,2.716850281E-1,-4.076023865E0,3.682342529E-1,4.101631354E0
1.521773292E0,2.731819153E-1,-4.116290131E0,3.656895447E-1,4.141521658E0
1.531716292E0,2.616558838E-1,-4.172722778E0,3.826043701E-1,4.198388416E0
1.541659292E0,2.480342102E-1,-4.320914612E0,3.742218018E-1,4.344176102E0
1.551603292E0,2.695893860E-1,-4.474794617E0,3.667373657E-1,4.497884124E0
1.561546292E0,2.766247559E-1,-4.703968048E0,3.764671326E-1,4.727109493E0
1.571489292E0,2.930905151E-1,-4.973557434E0,3.823049927E-1,4.996832267E0
1.581432292E0,3.221301270E-1,-5.268144836E0,4.008663940E-1,5.293185402E0
1.591376292E0,3.460803223E-1,-5.535937958E0,4.266128540E-1,5.563126746E0
1.601319292E0,3.591032410E-1,-5.824238434E0,4.373904419E-1,5.851668042E0
1.611262292E0,3.942800903E-1,-6.142326965E0,4.631369019E-1,6.172368519E0
1.621206292E0,4.227209473E-1,-6.487808533E0,4.999603271E-1,6.520760146E0
1.631149292E0,4.531077576E-1,-6.905140686E0,5.391787720E-1,6.940964507E0
1.641092292E0,4.837939453E-1,-7.336992645E0,6.030958557E-1,7.377617655E0
1.651035292E0,5.056484985E-1,-7.810009003E0,6.565347290E-1,7.853849940E0
1.660979292E0,5.328918457E-1,-8.223898315E0,6.969506836E-1,8.270563311E0
1.670922292E0,5.605842590E-1,-8.642278290E0,7.482939148E-1,8.692708009E0
1.680865292E0,5.816903687E-1,-9.048832855E0,8.229885864E-1,9.104781707E0
1.690809292E0,5.945635986E-1,-9.475595398E0,8.747808838E-1,9.534445742E0
1.700752292E0,6.122268677E-1,-9.956545258E0,9.499246216E-1,1.002047763E1
1.710695292E0,6.227050781E-1,-1.044138702E1,1.016685791E0,1.050923283E1
1.720638292E0,6.521937561E-1,-1.092533066E1,1.053209839E0,1.099533800E1
1.730582292E0,6.414161682E-1,-1.138786880E1,1.066981201E0,1.145571558E1
1.740525292E0,6.414161682E-1,-1.180535065E1,1.104104004E0,1.187420584E1
1.750468292E0,6.414161682E-1,-1.220202576E1,1.133742371E0,1.227135767E1
1.760412292E0,6.360273743E-1,-1.255469238E1,1.144070892E0,1.262274653E1
1.770355292E0,6.403683472E-1,-1.294343399E1,1.160386963E0,1.301111267E1
1.780298292E0,6.349795532E-1,-1.333681595E1,1.151555328E0,1.340149015E1
1.790241292E0,6.619235229E-1,-1.369891296E1,1.139729919E0,1.376217074E1
1.800185292E0,6.586303711E-1,-1.406250687E1,1.145717468E0,1.412446678E1
